epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
86,2646.73,0.83918,0.42627,0.91393,0.96231,0.91779,0.95921,0.72366,0.73282,0.36059,0.92571,0.00102817,0.00102817,0.00102817
87,2676.78,0.80969,0.41691,0.92073,0.97294,0.90069,0.95142,0.72651,0.71597,0.34882,0.91528,0.00102345,0.00102345,0.00102345
88,2708.33,0.84082,0.43144,0.91571,0.9604,0.9031,0.95142,0.72744,0.71742,0.34242,0.91616,0.00101873,0.00101873,0.00101873
89,2738.76,0.82747,0.43066,0.92231,0.96042,0.89847,0.95336,0.73559,0.71155,0.34825,0.91417,0.00101402,0.00101402,0.00101402
90,2768.77,0.83089,0.42964,0.91908,0.96757,0.90933,0.95991,0.74647,0.7112,0.3464,0.91483,0.0010093,0.0010093,0.0010093
91,2800.37,0.82042,0.41464,0.90341,0.96997,0.90798,0.95895,0.74468,0.71148,0.34364,0.91205,0.00100459,0.00100459,0.00100459
92,2830,0.83338,0.41939,0.91043,0.96622,0.90857,0.95226,0.72172,0.72298,0.35344,0.91496,0.000999871,0.000999871,0.000999871
93,2860.16,0.81101,0.4103,0.91234,0.96055,0.92141,0.95526,0.74078,0.69632,0.34729,0.90137,0.000995156,0.000995156,0.000995156
94,2891.37,0.8069,0.40829,0.90411,0.96652,0.91778,0.96063,0.75463,0.68743,0.34104,0.89991,0.00099044,0.00099044,0.00099044
95,2923.45,0.80783,0.41156,0.89976,0.97898,0.88584,0.95423,0.74451,0.6933,0.34594,0.90311,0.000985724,0.000985724,0.000985724
96,2953.04,0.82241,0.42024,0.91287,0.96526,0.91137,0.95924,0.74423,0.70645,0.34273,0.91091,0.000981008,0.000981008,0.000981008
97,2983.66,0.81636,0.41184,0.9056,0.961,0.93657,0.96047,0.7463,0.69105,0.33923,0.90409,0.000976293,0.000976293,0.000976293
98,3014.16,0.81924,0.42386,0.91086,0.9661,0.92106,0.96191,0.73741,0.68989,0.35141,0.89895,0.000971577,0.000971577,0.000971577
99,3044.66,0.80613,0.41138,0.91147,0.96303,0.91022,0.95687,0.74505,0.68133,0.33956,0.89534,0.000966861,0.000966861,0.000966861
100,3074.85,0.78772,0.40264,0.90371,0.97574,0.8895,0.95694,0.73199,0.68131,0.3442,0.89537,0.000962146,0.000962146,0.000962146
101,3105.59,0.80043,0.41217,0.90612,0.95926,0.91168,0.95823,0.73925,0.68212,0.33618,0.89691,0.00095743,0.00095743,0.00095743
102,3135.54,0.79016,0.39794,0.9002,0.98406,0.89167,0.95692,0.73527,0.68436,0.33579,0.90402,0.000952714,0.000952714,0.000952714
103,3165.39,0.80654,0.40956,0.90169,0.92893,0.93669,0.96082,0.75091,0.67469,0.33115,0.89634,0.000947999,0.000947999,0.000947999
104,3195.61,0.78783,0.39797,0.90326,0.95805,0.92772,0.95836,0.73937,0.6815,0.33469,0.90162,0.000943283,0.000943283,0.000943283
105,3225.81,0.78033,0.3995,0.90243,0.97547,0.91109,0.95836,0.75297,0.66246,0.33176,0.88947,0.000938567,0.000938567,0.000938567
106,3256.34,0.77631,0.39767,0.89589,0.97532,0.9256,0.96278,0.76757,0.65555,0.33193,0.88499,0.000933851,0.000933851,0.000933851
